idx,log_timestamp,camera,ave_speed,speed_units,image_path,image_w,image_h,image_bigger,direction,plugin_name,cx,cy,mw,mh,m_area,x_left,x_right,y_upper,y_lower,max_speed_over,min_area,track_counter,cal_obj_px,cal_obj_mm,status,cam_location
20220223-1806195,"""2022-02-23 18:06:19""",PiCam,24.34,mph,media/images/speed-20220220-1343/speed-24-20220223-1806195.jpg,960,720,3,R2L,None,123,17,35,28,980,50,250,110,173,15,200,6,56,2743.2,,None
20220223-1810225,"""2022-02-23 18:10:22""",PiCam,16.02,mph,media/images/speed-20220220-1343/speed-16-20220223-1810225.jpg,960,720,3,R2L,None,112,24,21,27,567,50,250,110,173,15,200,6,56,2743.2,,None
20220223-1810345,"""2022-02-23 18:10:34""",PiCam,16.12,mph,media/images/speed-20220220-1343/speed-16-20220223-1810345.jpg,960,720,3,L2R,None,83,34,21,23,483,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1810575,"""2022-02-23 18:10:57""",PiCam,19.15,mph,media/images/speed-20220220-1343/speed-19-20220223-1810575.jpg,960,720,3,L2R,None,31,13,41,36,1476,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1811223,"""2022-02-23 18:11:22""",PiCam,28.17,mph,media/images/speed-20220220-1343/speed-28-20220223-1811223.jpg,960,720,3,L2R,None,116,12,24,34,816,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1811580,"""2022-02-23 18:11:58""",PiCam,18.49,mph,media/images/speed-20220220-1343/speed-18-20220223-1811580.jpg,960,720,3,L2R,None,73,33,25,15,375,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1812379,"""2022-02-23 18:12:37""",PiCam,22.98,mph,media/images/speed-20220220-1343/speed-23-20220223-1812379.jpg,960,720,3,R2L,None,99,23,28,22,616,50,250,110,173,15,200,6,56,2743.2,,None
20220223-1813311,"""2022-02-23 18:13:31""",PiCam,20.96,mph,media/images/speed-20220220-1343/speed-21-20220223-1813311.jpg,960,720,3,L2R,None,95,21,35,28,980,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1813596,"""2022-02-23 18:13:59""",PiCam,19.36,mph,media/images/speed-20220220-1343/speed-19-20220223-1813596.jpg,960,720,3,L2R,None,64,25,25,17,425,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1814033,"""2022-02-23 18:14:03""",PiCam,27.59,mph,media/images/speed-20220220-1343/speed-28-20220223-1814033.jpg,960,720,3,L2R,None,116,22,36,22,792,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1814219,"""2022-02-23 18:14:21""",PiCam,18.45,mph,media/images/speed-20220220-1343/speed-18-20220223-1814219.jpg,960,720,3,R2L,None,110,26,26,30,780,50,250,110,173,15,200,6,56,2743.2,,None
20220223-1814229,"""2022-02-23 18:14:22""",PiCam,20.16,mph,media/images/speed-20220220-1343/speed-20-20220223-1814229.jpg,960,720,3,L2R,None,122,0,12,40,480,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1815128,"""2022-02-23 18:15:12""",PiCam,28.85,mph,media/images/speed-20220220-1343/speed-29-20220223-1815128.jpg,960,720,3,L2R,None,82,21,33,25,825,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1815593,"""2022-02-23 18:15:59""",PiCam,29.72,mph,media/images/speed-20220220-1343/speed-30-20220223-1815593.jpg,960,720,3,L2R,None,85,28,28,16,448,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1816200,"""2022-02-23 18:16:20""",PiCam,19.79,mph,media/images/speed-20220220-1343/speed-20-20220223-1816200.jpg,960,720,3,R2L,None,108,23,25,40,1000,50,250,110,173,15,200,6,56,2743.2,,None
20220223-1817128,"""2022-02-23 18:17:12""",PiCam,19.95,mph,media/images/speed-20220220-1343/speed-20-20220223-1817128.jpg,960,720,3,R2L,None,105,25,31,27,837,50,250,110,173,15,200,6,56,2743.2,,None
20220223-1817215,"""2022-02-23 18:17:21""",PiCam,30.44,mph,media/images/speed-20220220-1343/speed-30-20220223-1817215.jpg,960,720,3,L2R,None,89,23,31,37,1147,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1817427,"""2022-02-23 18:17:42""",PiCam,19.55,mph,media/images/speed-20220220-1343/speed-20-20220223-1817427.jpg,960,720,3,L2R,None,118,25,19,38,722,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1818185,"""2022-02-23 18:18:18""",PiCam,35.88,mph,media/images/speed-20220220-1343/speed-36-20220223-1818185.jpg,960,720,3,L2R,None,61,0,30,58,1740,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1818216,"""2022-02-23 18:18:21""",PiCam,24.37,mph,media/images/speed-20220220-1343/speed-24-20220223-1818216.jpg,960,720,3,L2R,None,77,0,16,63,1008,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1819295,"""2022-02-23 18:19:29""",PiCam,32.77,mph,media/images/speed-20220220-1343/speed-33-20220223-1819295.jpg,960,720,3,L2R,None,102,22,37,39,1443,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1819569,"""2022-02-23 18:19:56""",PiCam,25.74,mph,media/images/speed-20220220-1343/speed-26-20220223-1819569.jpg,960,720,3,L2R,None,110,0,40,41,1640,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1820172,"""2022-02-23 18:20:17""",PiCam,16.7,mph,media/images/speed-20220220-1343/speed-17-20220223-1820172.jpg,960,720,3,L2R,None,98,29,29,16,464,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1820290,"""2022-02-23 18:20:29""",PiCam,21.9,mph,media/images/speed-20220220-1343/speed-22-20220223-1820290.jpg,960,720,3,R2L,None,97,29,31,24,744,50,250,110,173,15,200,6,56,2743.2,,None
20220223-1821052,"""2022-02-23 18:21:05""",PiCam,16.27,mph,media/images/speed-20220220-1343/speed-16-20220223-1821052.jpg,960,720,3,L2R,None,83,0,30,35,1050,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1821061,"""2022-02-23 18:21:06""",PiCam,40.81,mph,media/images/speed-20220220-1343/speed-41-20220223-1821061.jpg,960,720,3,R2L,None,108,0,34,45,1530,50,250,110,173,15,200,6,56,2743.2,,None
20220223-1821599,"""2022-02-23 18:21:59""",PiCam,26.24,mph,media/images/speed-20220220-1343/speed-26-20220223-1821599.jpg,960,720,3,R2L,None,81,0,45,63,2835,50,250,110,173,15,200,6,56,2743.2,,None
20220223-1822008,"""2022-02-23 18:22:00""",PiCam,20.66,mph,media/images/speed-20220220-1343/speed-21-20220223-1822008.jpg,960,720,3,R2L,None,24,0,39,53,2067,50,250,110,173,15,200,6,56,2743.2,,None
20220223-1822271,"""2022-02-23 18:22:27""",PiCam,32.0,mph,media/images/speed-20220220-1343/speed-32-20220223-1822271.jpg,960,720,3,L2R,None,103,0,51,63,3213,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1822309,"""2022-02-23 18:22:30""",PiCam,16.28,mph,media/images/speed-20220220-1343/speed-16-20220223-1822309.jpg,960,720,3,R2L,None,126,0,27,58,1566,50,250,110,173,15,200,6,56,2743.2,,None
20220223-1828124,"""2022-02-23 18:28:12""",PiCam,37.14,mph,media/images/speed-20220220-1343/speed-37-20220223-1828124.jpg,960,720,3,R2L,None,48,22,48,22,1056,50,250,110,173,15,200,6,56,2743.2,,None
20220223-1832151,"""2022-02-23 18:32:15""",PiCam,27.81,mph,media/images/speed-20220220-1343/speed-28-20220223-1832151.jpg,960,720,3,R2L,None,64,16,55,25,1375,50,250,110,173,15,200,6,56,2743.2,,None
20220223-1836313,"""2022-02-23 18:36:31""",PiCam,29.31,mph,media/images/speed-20220220-1343/speed-29-20220223-1836313.jpg,960,720,3,L2R,None,100,31,35,25,875,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1838163,"""2022-02-23 18:38:16""",PiCam,24.64,mph,media/images/speed-20220220-1343/speed-25-20220223-1838163.jpg,960,720,3,R2L,None,81,30,39,22,858,50,250,110,173,15,200,6,56,2743.2,,None
20220223-1839086,"""2022-02-23 18:39:08""",PiCam,25.75,mph,media/images/speed-20220220-1343/speed-26-20220223-1839086.jpg,960,720,3,R2L,None,99,18,59,28,1652,50,250,110,173,15,200,6,56,2743.2,,None
20220223-1853498,"""2022-02-23 18:53:49""",PiCam,23.66,mph,media/images/speed-20220220-1343/speed-24-20220223-1853498.jpg,960,720,3,L2R,None,87,28,26,12,312,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1857281,"""2022-02-23 18:57:28""",PiCam,20.06,mph,media/images/speed-20220220-1343/speed-20-20220223-1857281.jpg,960,720,3,L2R,None,72,25,26,21,546,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1857290,"""2022-02-23 18:57:29""",PiCam,19.79,mph,media/images/speed-20220220-1343/speed-20-20220223-1857290.jpg,960,720,3,L2R,None,126,21,27,13,351,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1859290,"""2022-02-23 18:59:29""",PiCam,26.29,mph,media/images/speed-20220220-1343/speed-26-20220223-1859290.jpg,960,720,3,L2R,None,87,29,30,13,390,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1905196,"""2022-02-23 19:05:19""",PiCam,15.17,mph,media/images/speed-20220220-1343/speed-15-20220223-1905196.jpg,960,720,3,R2L,None,116,31,23,13,299,50,250,110,173,15,200,6,56,2743.2,,None
20220223-1908134,"""2022-02-23 19:08:13""",PiCam,31.55,mph,media/images/speed-20220220-1343/speed-32-20220223-1908134.jpg,960,720,3,L2R,None,101,34,35,19,665,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1917391,"""2022-02-23 19:17:39""",PiCam,21.93,mph,media/images/speed-20220220-1343/speed-22-20220223-1917391.jpg,960,720,3,L2R,None,75,31,30,12,360,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1920152,"""2022-02-23 19:20:15""",PiCam,22.18,mph,media/images/speed-20220220-1343/speed-22-20220223-1920152.jpg,960,720,3,L2R,None,79,34,30,19,570,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1920191,"""2022-02-23 19:20:19""",PiCam,15.77,mph,media/images/speed-20220220-1343/speed-16-20220223-1920191.jpg,960,720,3,L2R,None,90,22,23,13,299,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1923398,"""2022-02-23 19:23:39""",PiCam,24.21,mph,media/images/speed-20220220-1343/speed-24-20220223-1923398.jpg,960,720,3,L2R,None,71,31,26,12,312,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1934460,"""2022-02-23 19:34:46""",PiCam,27.39,mph,media/images/speed-20220220-1343/speed-27-20220223-1934460.jpg,960,720,3,R2L,None,98,31,24,12,288,50,250,110,173,15,200,6,56,2743.2,,None
20220223-1938398,"""2022-02-23 19:38:39""",PiCam,31.4,mph,media/images/speed-20220220-1343/speed-31-20220223-1938398.jpg,960,720,3,R2L,None,83,27,26,11,286,50,250,110,173,15,200,6,56,2743.2,,None
20220223-1940212,"""2022-02-23 19:40:21""",PiCam,30.29,mph,media/images/speed-20220220-1343/speed-30-20220223-1940212.jpg,960,720,3,L2R,None,92,31,30,11,330,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1943084,"""2022-02-23 19:43:08""",PiCam,25.75,mph,media/images/speed-20220220-1343/speed-26-20220223-1943084.jpg,960,720,3,L2R,None,92,30,30,13,390,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1943145,"""2022-02-23 19:43:14""",PiCam,22.19,mph,media/images/speed-20220220-1343/speed-22-20220223-1943145.jpg,960,720,3,L2R,None,78,29,30,16,480,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1949003,"""2022-02-23 19:49:00""",PiCam,33.96,mph,media/images/speed-20220220-1343/speed-34-20220223-1949003.jpg,960,720,3,L2R,None,102,27,32,12,384,50,250,110,173,15,200,6,25,1092.2,,None
20220223-1956535,"""2022-02-23 19:56:53""",PiCam,33.84,mph,media/images/speed-20220220-1343/speed-34-20220223-1956535.jpg,960,720,3,L2R,None,102,27,35,18,630,50,250,110,173,15,200,6,25,1092.2,,None
20220223-2012219,"""2022-02-23 20:12:21""",PiCam,15.38,mph,media/images/speed-20220220-1343/speed-15-20220223-2012219.jpg,960,720,3,R2L,None,119,30,25,15,375,50,250,110,173,15,200,6,56,2743.2,,None
20220223-2013390,"""2022-02-23 20:13:39""",PiCam,20.43,mph,media/images/speed-20220220-1343/speed-20-20220223-2013390.jpg,960,720,3,L2R,None,75,25,28,18,504,50,250,110,173,15,200,6,25,1092.2,,None
20220223-2059203,"""2022-02-23 20:59:20""",PiCam,32.9,mph,media/images/speed-20220220-1343/speed-33-20220223-2059203.jpg,960,720,3,L2R,None,101,26,32,13,416,50,250,110,173,15,200,6,25,1092.2,,None
20220223-2102582,"""2022-02-23 21:02:58""",PiCam,24.41,mph,media/images/speed-20220220-1343/speed-24-20220223-2102582.jpg,960,720,3,L2R,None,78,27,36,21,756,50,250,110,173,15,200,6,25,1092.2,,None
20220223-2105381,"""2022-02-23 21:05:38""",PiCam,19.04,mph,media/images/speed-20220220-1343/speed-19-20220223-2105381.jpg,960,720,3,R2L,None,111,27,26,15,390,50,250,110,173,15,200,6,56,2743.2,,None
20220223-2107308,"""2022-02-23 21:07:30""",PiCam,22.39,mph,media/images/speed-20220220-1343/speed-22-20220223-2107308.jpg,960,720,3,L2R,None,82,31,29,13,377,50,250,110,173,15,200,6,25,1092.2,,None
20220223-2115143,"""2022-02-23 21:15:14""",PiCam,22.08,mph,media/images/speed-20220220-1343/speed-22-20220223-2115143.jpg,960,720,3,R2L,None,101,27,22,12,264,50,250,110,173,15,200,6,56,2743.2,,None
20220223-2116202,"""2022-02-23 21:16:20""",PiCam,23.13,mph,media/images/speed-20220220-1343/speed-23-20220223-2116202.jpg,960,720,3,R2L,None,90,21,29,21,609,50,250,110,173,15,200,6,56,2743.2,,None
20220223-2119179,"""2022-02-23 21:19:17""",PiCam,27.49,mph,media/images/speed-20220220-1343/speed-27-20220223-2119179.jpg,960,720,3,L2R,None,88,27,33,20,660,50,250,110,173,15,200,6,25,1092.2,,None
20220223-2140478,"""2022-02-23 21:40:47""",PiCam,27.04,mph,media/images/speed-20220220-1343/speed-27-20220223-2140478.jpg,960,720,3,R2L,None,76,26,31,14,434,50,250,110,173,15,200,6,56,2743.2,,None
20220223-2142494,"""2022-02-23 21:42:49""",PiCam,30.1,mph,media/images/speed-20220220-1343/speed-30-20220223-2142494.jpg,960,720,3,L2R,None,89,28,34,15,510,50,250,110,173,15,200,6,25,1092.2,,None
20220223-2147237,"""2022-02-23 21:47:23""",PiCam,30.55,mph,media/images/speed-20220220-1343/speed-31-20220223-2147237.jpg,960,720,3,L2R,None,104,31,32,17,544,50,250,110,173,15,200,6,25,1092.2,,None
20220223-2149263,"""2022-02-23 21:49:26""",PiCam,34.98,mph,media/images/speed-20220220-1343/speed-35-20220223-2149263.jpg,960,720,3,R2L,None,74,31,28,12,336,50,250,110,173,15,200,6,56,2743.2,,None
20220223-2255314,"""2022-02-23 22:55:31""",PiCam,27.84,mph,media/images/speed-20220220-1343/speed-28-20220223-2255314.jpg,960,720,3,L2R,None,100,29,31,12,372,50,250,110,173,15,200,6,25,1092.2,,None
20220223-2308040,"""2022-02-23 23:08:04""",PiCam,26.16,mph,media/images/speed-20220220-1343/speed-26-20220223-2308040.jpg,960,720,3,L2R,None,82,30,31,16,496,50,250,110,173,15,200,6,25,1092.2,,None
20220224-0444192,"""2022-02-24 04:44:19""",PiCam,18.94,mph,media/images/speed-20220220-1343/speed-19-20220224-0444192.jpg,960,720,3,R2L,None,108,24,24,13,312,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0444204,"""2022-02-24 04:44:20""",PiCam,23.42,mph,media/images/speed-20220220-1343/speed-23-20220224-0444204.jpg,960,720,3,R2L,None,21,21,23,19,437,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0511388,"""2022-02-24 05:11:38""",PiCam,26.15,mph,media/images/speed-20220220-1343/speed-26-20220224-0511388.jpg,960,720,3,R2L,None,46,23,24,11,264,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0519107,"""2022-02-24 05:19:10""",PiCam,30.03,mph,media/images/speed-20220220-1343/speed-30-20220224-0519107.jpg,960,720,3,R2L,None,77,27,34,25,850,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0543136,"""2022-02-24 05:43:13""",PiCam,30.44,mph,media/images/speed-20220220-1343/speed-30-20220224-0543136.jpg,960,720,3,R2L,None,75,27,30,11,330,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0545427,"""2022-02-24 05:45:42""",PiCam,26.8,mph,media/images/speed-20220220-1343/speed-27-20220224-0545427.jpg,960,720,3,R2L,None,77,24,30,13,390,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0546116,"""2022-02-24 05:46:11""",PiCam,26.17,mph,media/images/speed-20220220-1343/speed-26-20220224-0546116.jpg,960,720,3,R2L,None,81,23,29,13,377,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0557393,"""2022-02-24 05:57:39""",PiCam,30.14,mph,media/images/speed-20220220-1343/speed-30-20220224-0557393.jpg,960,720,3,R2L,None,73,26,33,17,561,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0558236,"""2022-02-24 05:58:23""",PiCam,24.92,mph,media/images/speed-20220220-1343/speed-25-20220224-0558236.jpg,960,720,3,R2L,None,89,25,30,16,480,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0601237,"""2022-02-24 06:01:23""",PiCam,26.99,mph,media/images/speed-20220220-1343/speed-27-20220224-0601237.jpg,960,720,3,R2L,None,88,26,27,19,513,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0601501,"""2022-02-24 06:01:50""",PiCam,21.02,mph,media/images/speed-20220220-1343/speed-21-20220224-0601501.jpg,960,720,3,R2L,None,91,24,31,17,527,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0608358,"""2022-02-24 06:08:35""",PiCam,32.98,mph,media/images/speed-20220220-1343/speed-33-20220224-0608358.jpg,960,720,3,R2L,None,78,25,30,18,540,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0609574,"""2022-02-24 06:09:57""",PiCam,23.69,mph,media/images/speed-20220220-1343/speed-24-20220224-0609574.jpg,960,720,3,R2L,None,87,28,28,16,448,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0610016,"""2022-02-24 06:10:01""",PiCam,23.28,mph,media/images/speed-20220220-1343/speed-23-20220224-0610016.jpg,960,720,3,R2L,None,94,25,28,17,476,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0623345,"""2022-02-24 06:23:34""",PiCam,27.97,mph,media/images/speed-20220220-1343/speed-28-20220224-0623345.jpg,960,720,3,L2R,None,98,28,32,17,544,50,250,110,173,15,200,6,25,1092.2,,None
20220224-0628429,"""2022-02-24 06:28:42""",PiCam,36.22,mph,media/images/speed-20220220-1343/speed-36-20220224-0628429.jpg,960,720,3,L2R,None,106,31,34,12,408,50,250,110,173,15,200,6,25,1092.2,,None
20220224-0632508,"""2022-02-24 06:32:50""",PiCam,18.63,mph,media/images/speed-20220220-1343/speed-19-20220224-0632508.jpg,960,720,3,R2L,None,103,29,27,16,432,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0639596,"""2022-02-24 06:39:59""",PiCam,23.92,mph,media/images/speed-20220220-1343/speed-24-20220224-0639596.jpg,960,720,3,R2L,None,115,13,43,35,1505,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0712220,"""2022-02-24 07:12:22""",PiCam,35.61,mph,media/images/speed-20220220-1343/speed-36-20220224-0712220.jpg,960,720,3,R2L,None,42,19,56,31,1736,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0713447,"""2022-02-24 07:13:44""",PiCam,28.95,mph,media/images/speed-20220220-1343/speed-29-20220224-0713447.jpg,960,720,3,R2L,None,44,15,60,36,2160,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0715560,"""2022-02-24 07:15:56""",PiCam,34.02,mph,media/images/speed-20220220-1343/speed-34-20220224-0715560.jpg,960,720,3,R2L,None,44,15,55,35,1925,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0722159,"""2022-02-24 07:22:15""",PiCam,19.84,mph,media/images/speed-20220220-1343/speed-20-20220224-0722159.jpg,960,720,3,R2L,None,83,16,51,33,1683,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0724065,"""2022-02-24 07:24:06""",PiCam,16.8,mph,media/images/speed-20220220-1343/speed-17-20220224-0724065.jpg,960,720,3,R2L,None,78,10,56,40,2240,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0724077,"""2022-02-24 07:24:07""",PiCam,19.25,mph,media/images/speed-20220220-1343/speed-19-20220224-0724077.jpg,960,720,3,R2L,None,58,9,72,41,2952,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0724380,"""2022-02-24 07:24:38""",PiCam,28.52,mph,media/images/speed-20220220-1343/speed-29-20220224-0724380.jpg,960,720,3,R2L,None,58,19,65,32,2080,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0732495,"""2022-02-24 07:32:49""",PiCam,21.59,mph,media/images/speed-20220220-1343/speed-22-20220224-0732495.jpg,960,720,3,R2L,None,87,33,33,17,561,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0738331,"""2022-02-24 07:38:33""",PiCam,20.4,mph,media/images/speed-20220220-1343/speed-20-20220224-0738331.jpg,960,720,3,R2L,None,128,20,37,30,1110,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0739366,"""2022-02-24 07:39:36""",PiCam,28.41,mph,media/images/speed-20220220-1343/speed-28-20220224-0739366.jpg,960,720,3,R2L,None,51,16,95,33,3135,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0740239,"""2022-02-24 07:40:23""",PiCam,24.3,mph,media/images/speed-20220220-1343/speed-24-20220224-0740239.jpg,960,720,3,L2R,None,95,3,65,50,3250,50,250,110,173,15,200,6,25,1092.2,,None
20220224-0741045,"""2022-02-24 07:41:04""",PiCam,23.49,mph,media/images/speed-20220220-1343/speed-23-20220224-0741045.jpg,960,720,3,R2L,None,57,15,53,35,1855,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0743202,"""2022-02-24 07:43:20""",PiCam,22.04,mph,media/images/speed-20220220-1343/speed-22-20220224-0743202.jpg,960,720,3,R2L,None,74,20,49,29,1421,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0745328,"""2022-02-24 07:45:32""",PiCam,30.76,mph,media/images/speed-20220220-1343/speed-31-20220224-0745328.jpg,960,720,3,R2L,None,49,23,59,25,1475,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0746074,"""2022-02-24 07:46:07""",PiCam,22.75,mph,media/images/speed-20220220-1343/speed-23-20220224-0746074.jpg,960,720,3,R2L,None,108,16,45,32,1440,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0748423,"""2022-02-24 07:48:42""",PiCam,24.32,mph,media/images/speed-20220220-1343/speed-24-20220224-0748423.jpg,960,720,3,R2L,None,59,7,53,42,2226,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0750511,"""2022-02-24 07:50:51""",PiCam,30.48,mph,media/images/speed-20220220-1343/speed-30-20220224-0750511.jpg,960,720,3,R2L,None,28,19,54,30,1620,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0754389,"""2022-02-24 07:54:38""",PiCam,16.58,mph,media/images/speed-20220220-1343/speed-17-20220224-0754389.jpg,960,720,3,R2L,None,81,0,72,51,3672,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0755296,"""2022-02-24 07:55:29""",PiCam,26.86,mph,media/images/speed-20220220-1343/speed-27-20220224-0755296.jpg,960,720,3,R2L,None,62,20,56,30,1680,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0756482,"""2022-02-24 07:56:48""",PiCam,17.1,mph,media/images/speed-20220220-1343/speed-17-20220224-0756482.jpg,960,720,3,R2L,None,82,16,52,30,1560,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0758582,"""2022-02-24 07:58:58""",PiCam,16.83,mph,media/images/speed-20220220-1343/speed-17-20220224-0758582.jpg,960,720,3,R2L,None,63,18,41,24,984,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0758596,"""2022-02-24 07:58:59""",PiCam,15.11,mph,media/images/speed-20220220-1343/speed-15-20220224-0758596.jpg,960,720,3,R2L,None,95,13,47,36,1692,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0803472,"""2022-02-24 08:03:47""",PiCam,22.97,mph,media/images/speed-20220220-1343/speed-23-20220224-0803472.jpg,960,720,3,L2R,None,54,18,42,31,1302,50,250,110,173,15,200,6,25,1092.2,,None
20220224-0808044,"""2022-02-24 08:08:04""",PiCam,32.96,mph,media/images/speed-20220220-1343/speed-33-20220224-0808044.jpg,960,720,3,R2L,None,70,0,30,63,1890,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0815355,"""2022-02-24 08:15:35""",PiCam,26.61,mph,media/images/speed-20220220-1343/speed-27-20220224-0815355.jpg,960,720,3,L2R,None,92,17,64,34,2176,50,250,110,173,15,200,6,25,1092.2,,None
20220224-0830096,"""2022-02-24 08:30:09""",PiCam,20.51,mph,media/images/speed-20220220-1343/speed-21-20220224-0830096.jpg,960,720,3,L2R,None,41,13,49,40,1960,50,250,110,173,15,200,6,25,1092.2,,None
20220224-0835432,"""2022-02-24 08:35:43""",PiCam,25.49,mph,media/images/speed-20220220-1343/speed-25-20220224-0835432.jpg,960,720,3,L2R,None,84,7,75,50,3750,50,250,110,173,15,200,6,25,1092.2,,None
20220224-0838091,"""2022-02-24 08:38:09""",PiCam,19.31,mph,media/images/speed-20220220-1343/speed-19-20220224-0838091.jpg,960,720,3,R2L,None,79,20,53,32,1696,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0841105,"""2022-02-24 08:41:10""",PiCam,22.16,mph,media/images/speed-20220220-1343/speed-22-20220224-0841105.jpg,960,720,3,R2L,None,59,12,65,41,2665,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0842577,"""2022-02-24 08:42:57""",PiCam,19.46,mph,media/images/speed-20220220-1343/speed-19-20220224-0842577.jpg,960,720,3,R2L,None,34,10,124,43,5332,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0855443,"""2022-02-24 08:55:44""",PiCam,18.73,mph,media/images/speed-20220220-1343/speed-19-20220224-0855443.jpg,960,720,3,R2L,None,74,14,62,39,2418,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0858389,"""2022-02-24 08:58:38""",PiCam,39.84,mph,media/images/speed-20220220-1343/speed-40-20220224-0858389.jpg,960,720,3,R2L,None,30,18,122,35,4270,50,250,110,173,15,200,6,56,2743.2,,None
20220224-0904127,"""2022-02-24 09:04:12""",PiCam,27.99,mph,media/images/speed-20220220-1343/speed-28-20220224-0904127.jpg,960,720,3,L2R,None,99,21,76,31,2356,50,250,110,173,15,200,6,25,1092.2,,None
20220224-0919294,"""2022-02-24 09:19:29""",PiCam,25.89,mph,media/images/speed-20220220-1343/speed-26-20220224-0919294.jpg,960,720,3,L2R,None,51,13,123,45,5535,50,250,110,173,15,200,6,25,1092.2,,None
20220224-0921455,"""2022-02-24 09:21:45""",PiCam,28.76,mph,media/images/speed-20220220-1343/speed-29-20220224-0921455.jpg,960,720,3,L2R,None,61,12,115,43,4945,50,250,110,173,15,200,6,25,1092.2,,None
20220224-0932047,"""2022-02-24 09:32:04""",PiCam,25.38,mph,media/images/speed-20220220-1343/speed-25-20220224-0932047.jpg,960,720,3,L2R,None,43,13,64,46,2944,50,250,110,173,15,200,6,25,1092.2,,None
20220224-0934519,"""2022-02-24 09:34:51""",PiCam,23.45,mph,media/images/speed-20220220-1343/speed-23-20220224-0934519.jpg,960,720,3,L2R,None,109,25,53,32,1696,50,250,110,173,15,200,6,25,1092.2,,None
